"Symbol","Companies","Sector","Industry"
"AAOI","Applied Optoelectronics Inc.","Technology","Semiconductors"
"AAPL","Apple Inc.","Technology","Computer Manufacturing"
"AAVL","Avalanche Biotechnologies Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ABAX","ABAXIS Inc.","Capital Goods","Industrial Machinery/Components"
"ABCB","Ameris Bancorp","Finance","Major Banks"
"ABCO","The Advisory Board Company","Consumer Services","Other Consumer Services"
"ABDC","Alcentra Capital Corp.","Others","Others"
"ABGB","Abengoa S.A.","Consumer Services","Military/Government/Technical"
"ABTL","Autobytel Inc.","Technology","Computer Software: Programming/ Data Processing"
"ABY","Abengoa Yield plc","Public Utilities","Electric Utilities: Central"
"ACAD","ACADIA Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ACAS","American Capital Ltd.","Others","Others"
"ACAT","Arctic Cat Inc.","Capital Goods","Industrial Specialties"
"ACHN","Achillion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ACLS","Axcelis Technologies Inc.","Technology","Industrial Machinery/Components"
"ACOR","Acorda Therapeutics Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ACPW","Active Power Inc.","Public Utilities","Electric Utilities: Central"
"ACRX","AcelRx Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ACSF","American Capital Senior Floating Ltd.","Others","Others"
"ACTS","Actions Semiconductor Co. Ltd.","Technology","Semiconductors"
"ADBE","Adobe Systems Incorporated","Technology","Computer Software: Prepackaged Software"
"ADHD","Alcobra Ltd.","Health Care","Major Pharmaceuticals"
"ADMS","Adamas Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ADNC","Audience Inc.","Technology","Semiconductors"
"ADTN","ADTRAN Inc.","Public Utilities","Telecommunications Equipment"
"ADUS","Addus HomeCare Corporation","Health Care","Medical/Nursing Services"
"ADVS","Advent Software Inc.","Technology","EDP Services"
"AEGR","Aegerion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AEHR","Aehr Test Systems","Capital Goods","Electrical Products"
"AEIS","Advanced Energy Industries Inc.","Capital Goods","Industrial Machinery/Components"
"AEPI","AEP Industries Inc.","Capital Goods","Specialty Chemicals"
"AERI","Aerie Pharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AFCB","Athens Bancshares Corporation","Finance","Savings Institutions"
"AFFX","Affymetrix Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments"
"AFH","Atlas Financial Holdings Inc.","Finance","Property-Casualty Insurers"
"AFMD","Affimed N.V.","Others","Others"
"AFOP","Alliance Fiber Optic Products Inc.","Technology","Semiconductors"
"AGEN","Agenus Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AGIO","Agios Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AGNC","American Capital Agency Corp.","Consumer Services","Real Estate Investment Trusts"
"AGRX","Agile Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"AGTC","Applied Genetic Technologies Corporation","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AHGP","Alliance Holdings GP L.P.","Energy","Coal Mining"
"AHPI","Allied Healthcare Products Inc.","Health Care","Industrial Specialties"
"AIMC","Altra Industrial Motion Corp.","Capital Goods","Industrial Machinery/Components"
"AINV","Apollo Investment Corporation","Others","Others"
"AIQ","Alliance HealthCare Services Inc.","Health Care","Medical Specialities"
"AKAM","Akamai Technologies Inc.","Miscellaneous","Business Services"
"AKAO","Achaogen Inc.","Health Care","Major Pharmaceuticals"
"AKBA","Akebia Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"AKER","Akers Biosciences Inc","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"ALDR","Alder BioPharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ALDX","Aldeyra Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"ALGN","Align Technology Inc.","Health Care","Industrial Specialties"
"ALGT","Allegiant Travel Company","Transportation","Air Freight/Delivery Services"
"ALIM","Alimera Sciences Inc.","Health Care","Major Pharmaceuticals"
"ALKS","Alkermes plc","Health Care","Major Pharmaceuticals"
"ALLT","Allot Communications Ltd.","Technology","Computer Communications Equipment"
"ALNY","Alnylam Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ALOG","Analogic Corporation","Capital Goods","Electrical Products"
"ALOT","Astro-Med Inc.","Technology","Computer peripheral equipment"
"ALSK","Alaska Communications Systems Group Inc.","Public Utilities","Telecommunications Equipment"
"ALTR","Altera Corporation","Technology","Semiconductors"
"ALXA","Alexza Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ALXN","Alexion Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AMAT","Applied Materials Inc.","Technology","Semiconductors"
"AMBA","Ambarella Inc.","Technology","Semiconductors"
"AMBI","Ambit Biosciences Corporation","Health Care","Major Pharmaceuticals"
"AMCC","Applied Micro Circuits Corporation","Technology","Semiconductors"
"AMCF","Andatee China Marine Fuel Services Corporation","Energy","Oil Refining/Marketing"
"AMCN","AirMedia Group Inc","Technology","Advertising"
"AMDA","Amedica Corporation","Health Care","Medical/Dental Instruments"
"AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"AMKR","Amkor Technology Inc.","Technology","Semiconductors"
"AMPH","Amphastar Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AMRI","Albany Molecular Research Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"AMRS","Amyris Inc.","Basic Industries","Major Chemicals"
"AMSC","American Superconductor Corporation","Consumer Durables","Metal Fabrications"
"AMSF","AMERISAFE Inc.","Finance","Property-Casualty Insurers"
"AMWD","American Woodmark Corporation","Basic Industries","Forest Products"
"AMZN","Amazon.com Inc.","Consumer Services","Catalog/Specialty Distribution"
"ANAC","Anacor Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ANAD","ANADIGICS Inc.","Technology","Semiconductors"
"ANCB","Anchor Bancorp","Finance","Banks"
"ANGI","Angie&#39;s List Inc.","Consumer Services","Advertising"
"ANGO","AngioDynamics Inc.","Health Care","Medical/Dental Instruments"
"ANSS","ANSYS Inc.","Technology","Computer Software: Prepackaged Software"
"ANTH","Anthera Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"AOSL","Alpha and Omega Semiconductor Limited","Technology","Semiconductors"
"APEI","American Public Education Inc.","Consumer Services","Other Consumer Services"
"APOL","Apollo Education Group Inc.","Consumer Services","Other Consumer Services"
"AQU","Aquasition Corp.","Finance","Business Services"
"AQXP","Aquinox Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ARAY","Accuray Incorporated","Health Care","Medical/Dental Instruments"
"ARCC","Ares Capital Corporation","Others","Others"
"ARCP","American Realty Capital Properties Inc.","Consumer Services","Real Estate Investment Trusts"
"ARDM","Aradigm Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"ARDX","Ardelyx Inc.","Health Care","Major Pharmaceuticals"
"AREX","Approach Resources Inc.","Energy","Oil & Gas Production"
"ARGS","Argos Therapeutics Inc.","Health Care","Major Pharmaceuticals"
"ARIA","ARIAD Pharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ARII","American Railcar Industries Inc.","Capital Goods","Railroads"
"ARIS","ARI Network Services Inc.","Technology","Computer Software: Programming/ Data Processing"
"ARLP","Alliance Resource Partners L.P.","Energy","Coal Mining"
"ARNA","Arena Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ARQL","ArQule Inc.","Health Care","Major Pharmaceuticals"
"ARRY","Array BioPharma Inc.","Health Care","Major Pharmaceuticals"
"ARTX","Arotech Corporation","Miscellaneous","Industrial Machinery/Components"
"ARUN","Aruba Networks Inc.","Technology","Computer peripheral equipment"
"ASBB","ASB Bancorp Inc.","Finance","Savings Institutions"
"ASFI","Asta Funding Inc.","Finance","Finance Companies"
"ASML","ASML Holding N.V.","Technology","Industrial Machinery/Components"
"ASPX","Auspex Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
"ASTE","Astec Industries Inc.","Capital Goods","Construction/Ag Equipment/Trucks"
"ASTM","Aastrom Biosciences Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ATAI","ATA Inc.","Consumer Services","Other Consumer Services"
"ATEA","Astea International Inc.","Technology","Computer Software: Prepackaged Software"
"ATEC","Alphatec Holdings Inc.","Health Care","Medical/Dental Instruments"
"ATHN","athenahealth Inc.","Miscellaneous","Business Services"
"ATLC","Atlanticus Holdings Corporation","Finance","Finance: Consumer Services"
"ATML","Atmel Corporation","Technology","Semiconductors"
"ATOS","Atossa Genetics Inc.","Health Care","Medical/Dental Instruments"
"ATRC","AtriCure Inc.","Health Care","Medical/Dental Instruments"
"ATRM","Aetrium Incorporated","Capital Goods","Electrical Products"
"AUDC","AudioCodes Ltd.","Public Utilities","Telecommunications Equipment"
"AUMAU","AR Capital Acquisition Corp.","Others","Others"
"AUXL","Auxilium Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals"
